age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,sex_Male,workclass_Private,marital-status_Non-Married,occupation_Other,relationship_Non-Husband,race_White,native-country_US,income
32,127295,9,0,0,20,1,0,1,0,1,0,0,0
26,159732,10,0,0,60,1,1,0,0,0,1,1,0
37,65390,13,0,0,50,1,1,0,1,0,1,1,0
23,107882,13,0,0,40,0,1,1,0,1,1,1,0
29,71860,9,0,0,60,1,1,0,1,0,1,1,0
35,161637,16,0,1902,40,1,1,0,0,0,0,0,1
36,172104,15,0,0,40,1,1,1,0,1,0,0,1
25,306908,13,0,0,50,1,1,0,0,0,1,1,0
17,118792,7,0,0,9,0,1,1,1,1,1,1,0
69,229418,9,0,0,40,1,1,0,1,0,1,1,0
43,200355,9,0,0,70,1,1,0,1,0,1,1,1
37,267086,11,0,0,52,0,1,1,1,1,1,1,0
57,174662,9,0,0,40,1,1,0,1,0,1,1,0
55,252714,11,0,0,40,1,1,0,0,0,1,1,0
65,169435,14,0,0,39,1,0,0,0,0,1,1,1
28,354095,10,0,0,40,0,1,1,1,1,1,1,0
46,113390,14,0,1740,60,1,1,0,0,0,1,1,0
64,182158,15,99999,0,60,1,0,0,0,0,1,1,1
46,117849,14,0,0,55,1,1,0,0,0,1,1,1
88,68539,10,0,0,40,0,1,1,0,1,1,1,0
28,230856,10,3325,0,50,0,1,1,0,1,0,1,0
64,134378,14,0,0,50,1,1,0,0,0,1,1,1
27,187981,9,0,0,40,1,1,1,1,1,1,1,0
33,176711,12,0,0,50,1,1,1,0,1,1,1,0
17,99462,7,0,0,20,0,1,1,1,1,0,1,0
48,313925,12,0,0,30,0,1,0,0,1,1,1,1
31,43716,11,0,0,43,1,1,1,0,1,1,1,0
58,190541,9,0,0,47,1,0,1,1,1,1,1,0
29,173851,9,0,0,40,1,1,0,1,0,1,1,0
42,266084,10,7298,0,45,1,1,0,1,0,1,1,1
22,111697,13,0,0,30,0,0,1,0,1,1,1,0
27,177351,13,0,0,45,1,1,1,1,1,1,1,0
25,262818,13,0,0,35,1,0,1,0,1,1,0,0
21,68358,10,0,0,20,0,1,1,1,1,1,1,0
32,30433,13,0,0,72,0,1,1,1,1,1,1,0
61,349434,13,0,0,40,0,0,1,0,1,0,1,0
21,238917,3,0,0,40,1,1,0,1,0,1,0,0
32,339482,3,0,0,60,1,1,1,1,1,1,0,0
25,63996,9,0,0,40,0,0,1,0,1,1,1,0
49,304864,10,0,0,35,0,1,1,1,1,0,1,0
35,177449,13,0,1887,52,1,1,0,1,0,1,1,1
33,31449,12,0,0,40,0,1,1,0,1,0,1,0
18,212936,10,0,0,15,1,1,1,1,1,1,1,0
40,520586,10,0,0,39,0,1,1,0,1,1,1,0
38,32837,13,0,0,56,0,1,1,0,1,1,1,0
39,328466,7,2407,0,70,1,1,0,1,0,1,0,0
30,66194,13,0,0,60,0,1,1,0,1,1,0,0
39,144688,9,0,0,50,0,1,0,0,1,0,1,0
25,132327,10,0,0,40,0,1,1,0,1,0,0,0
45,84324,12,0,0,50,1,0,0,0,0,1,1,1
51,285747,14,0,1977,60,1,0,0,0,0,1,1,1
21,234108,9,0,0,40,1,1,1,1,1,1,1,0
47,107682,9,0,0,48,0,1,1,0,1,1,1,0
43,255835,10,0,0,40,0,0,1,0,1,1,1,0
50,138179,12,0,1902,40,1,1,0,1,0,1,1,1
18,268520,9,0,0,40,0,0,1,0,1,1,1,0
36,43712,6,0,0,40,1,1,0,1,0,1,1,0
31,363130,9,0,0,18,1,1,1,1,1,0,1,0
29,308944,9,0,0,40,1,1,1,1,1,1,1,0
38,208379,13,0,0,8,0,1,1,0,1,1,1,0
37,74593,9,0,0,70,1,1,0,1,0,1,1,0
24,357028,10,0,0,40,1,1,1,0,1,1,1,0
53,164300,13,0,0,38,0,0,1,0,1,1,0,0
51,168660,7,0,0,40,1,1,0,1,0,1,1,0
61,167347,10,0,0,35,1,0,0,0,0,1,1,0
41,32533,11,0,0,45,1,0,0,1,0,1,1,0
53,206288,13,0,0,35,1,0,0,1,0,0,0,0
30,267161,10,0,0,45,0,1,0,1,1,0,1,0
53,35305,13,0,0,57,0,0,1,0,1,1,1,0
53,116211,10,0,0,40,1,0,0,0,0,1,1,0
56,165867,9,0,0,40,1,1,0,1,0,1,1,0
44,96321,10,0,0,40,1,1,0,0,0,1,1,1
65,29276,4,0,0,24,0,0,1,1,1,1,1,0
33,157568,9,0,0,40,1,1,0,0,0,1,1,0
17,191260,7,594,0,10,1,1,1,1,1,1,1,0
33,186824,11,0,0,40,1,1,0,1,0,1,1,0
41,287581,13,7688,0,45,1,1,0,0,0,1,1,1
47,162236,13,0,0,35,0,0,1,0,1,1,1,1
49,175622,13,0,0,40,1,0,0,0,0,1,1,1
37,97925,9,0,0,40,0,1,1,0,1,1,1,0
51,276214,9,0,0,40,0,1,1,0,1,1,1,0
34,167832,6,0,0,40,1,1,0,1,0,1,1,0
31,358461,10,0,0,40,1,0,1,1,1,0,1,0
37,112264,9,0,0,40,1,1,0,1,0,1,1,0
46,250821,15,0,0,48,1,1,1,1,1,1,1,0
71,193530,7,0,0,75,0,1,1,1,1,1,1,0
29,109621,9,0,0,40,1,1,0,1,0,1,1,0
31,237824,9,0,0,60,0,1,1,1,1,0,0,0
66,37170,9,0,0,42,1,0,0,0,0,1,1,1
32,142675,9,0,0,40,1,1,1,1,1,1,1,0
19,125591,10,0,0,40,0,1,1,1,1,1,1,0
59,132717,6,0,0,40,1,0,0,1,0,1,1,0
59,264048,9,0,0,35,1,1,0,1,0,1,1,1
27,224849,9,0,0,40,1,1,0,1,0,1,1,0
39,176279,13,0,0,40,0,1,1,1,1,1,1,0
35,199352,15,0,1977,80,1,1,0,0,0,1,1,1
26,192213,14,0,0,40,0,0,1,0,1,1,0,0
31,124420,7,0,0,40,1,1,0,1,0,1,1,0
28,213081,7,0,0,40,0,1,1,1,1,0,0,0
33,348416,9,0,0,40,0,1,1,0,1,0,1,0
29,294592,14,0,0,45,1,1,1,0,1,1,1,0
36,289148,10,0,0,40,0,1,1,1,1,1,1,0
42,69333,13,0,0,50,1,0,0,1,0,1,1,0
28,167336,9,0,0,45,0,1,0,0,1,1,1,1
37,28887,9,0,0,40,1,0,0,0,0,1,1,1
23,163090,12,0,0,20,1,1,1,1,1,1,1,0
22,217961,10,0,1719,30,1,1,1,1,1,1,1,0
28,181291,10,7688,0,40,0,1,0,1,1,1,1,1
21,202373,10,0,0,25,1,1,1,1,1,0,1,0
39,215150,5,0,0,50,1,1,1,1,1,1,1,0
34,191957,9,0,0,40,1,1,0,0,0,0,1,1
35,265954,13,0,0,40,1,1,1,1,1,0,1,0
24,30656,10,0,0,24,1,1,1,1,1,1,1,0
31,108322,10,0,0,28,1,1,0,1,0,1,1,0
31,263000,11,0,0,38,1,0,0,1,0,1,1,0
24,159567,10,0,0,40,1,1,0,0,0,1,1,0
52,177366,9,0,0,20,0,1,1,1,1,1,1,0
34,483777,9,0,0,40,1,1,1,1,1,0,1,0
54,140592,9,0,0,40,0,1,1,0,1,1,1,0
24,145964,12,0,0,70,1,0,1,1,1,1,1,0
17,452406,7,0,0,15,0,1,1,1,1,0,1,0
47,543162,9,0,0,40,0,0,1,0,1,0,1,0
34,106014,10,0,0,60,1,1,1,1,1,1,1,0
19,571853,9,0,0,30,1,1,1,1,1,1,1,0
37,100508,9,0,0,40,1,1,0,1,0,1,1,1
50,271160,10,0,0,40,0,1,1,1,1,1,1,0
37,73199,9,0,0,40,1,1,0,1,0,0,1,1
34,43959,9,0,0,50,1,0,0,1,0,1,1,0
71,337064,14,0,0,40,0,0,1,0,1,1,1,0
32,396745,13,0,2415,48,1,1,0,0,0,1,1,1
63,194638,9,0,0,32,1,0,0,1,0,1,1,0
20,528616,3,0,0,40,1,1,1,1,1,1,0,0
42,27187,14,0,0,60,1,0,0,1,0,1,1,1
25,198512,13,0,0,40,0,1,1,0,1,1,1,0
47,39518,13,0,0,60,1,0,0,1,0,1,1,0
24,192201,10,0,0,20,0,1,1,0,1,0,1,0
43,95902,12,0,0,40,0,0,0,0,1,0,1,0
37,211494,10,0,1980,55,1,1,1,0,1,1,1,0
36,127865,13,4650,0,25,0,1,1,0,1,1,1,0
31,188246,14,0,0,50,1,1,0,0,0,1,1,0
29,224858,10,0,0,45,1,1,0,0,0,1,1,0
27,704108,13,0,0,50,1,1,1,0,1,1,1,0
49,121253,9,0,1564,40,0,1,1,0,1,1,1,1
72,121004,9,0,0,55,1,0,0,1,0,1,1,0
23,220993,9,0,1590,48,1,1,1,1,1,1,1,0
60,71457,9,4508,0,8,1,0,0,1,0,1,1,0
51,120173,11,3103,0,50,1,1,0,1,0,1,1,1
32,206541,7,0,0,50,1,1,1,1,1,1,1,0
22,214716,9,0,0,40,0,1,1,1,1,1,1,0
32,206365,9,0,0,40,0,1,1,1,1,0,1,0
25,92093,13,0,0,20,1,1,0,0,0,1,1,0
33,44623,9,0,0,45,1,1,0,0,0,1,1,0
35,107302,13,0,0,40,1,1,0,1,0,1,1,1
35,150217,13,0,0,24,0,1,0,1,1,1,0,0
22,268145,13,0,0,40,0,1,1,1,1,1,1,0
38,193026,9,0,0,50,1,0,0,1,0,1,1,1
26,73392,9,0,0,30,1,0,1,1,1,0,1,0
64,47298,16,0,0,45,1,0,0,1,0,1,1,1
31,158672,7,0,0,38,1,1,1,1,1,1,0,0
37,191364,12,0,0,40,1,0,0,0,0,1,0,1
45,103406,13,0,1977,60,1,0,0,0,0,1,1,1
17,198146,7,0,0,16,0,1,1,1,1,1,1,0
33,101345,13,0,0,40,0,0,1,0,1,1,1,0
30,165503,13,0,0,65,0,1,1,1,1,1,1,0
48,226696,9,0,0,40,1,1,0,1,0,0,1,0
24,196742,9,0,0,40,0,1,1,1,1,1,1,0
32,158291,9,0,0,50,1,1,0,1,0,1,1,1
47,264052,13,15024,0,50,1,1,0,0,0,1,1,1
44,189956,13,15024,0,40,0,0,0,1,1,0,1,1
61,72442,9,0,0,40,1,1,0,1,0,1,1,1
20,122346,9,0,0,40,1,1,1,0,1,1,1,0
34,35595,11,0,0,40,1,1,0,1,0,1,1,0
56,191754,14,0,0,50,1,0,0,0,0,1,1,1
50,92811,13,0,0,40,1,1,0,1,0,1,1,0
51,673764,14,27828,0,40,1,1,1,0,1,1,1,1
48,135525,12,0,0,40,0,1,1,0,1,1,1,0
30,48520,9,0,0,43,1,1,1,1,1,1,1,0
23,199915,13,0,0,35,0,1,1,0,1,1,1,0
31,35985,9,0,0,40,1,1,0,1,0,1,1,0
46,160647,13,0,0,38,0,1,1,1,1,1,1,0
33,230883,10,0,2824,48,1,1,1,0,1,1,1,1
58,224854,9,0,0,40,0,1,1,0,1,1,1,0
28,138976,9,0,0,48,1,1,1,1,1,0,1,0
47,168232,9,0,1887,45,1,1,0,1,0,1,1,1
51,230095,6,0,0,40,0,1,1,1,1,1,1,0
36,210945,10,0,0,70,1,0,0,0,0,1,1,0
29,107812,10,0,0,15,1,1,1,0,1,1,1,0
38,334366,10,0,0,15,0,0,0,1,1,1,1,0
58,314153,9,0,0,40,1,1,0,1,0,1,1,1
36,200220,9,0,0,55,1,0,1,0,1,1,1,0
42,188789,4,0,0,35,0,1,1,1,1,1,1,0
23,182117,12,0,0,60,1,1,1,1,1,1,1,0
55,43064,7,0,0,30,1,1,0,1,0,1,1,0
31,291494,14,0,0,40,1,1,0,0,0,1,1,1
50,160400,9,0,0,40,0,1,1,1,1,1,1,0
57,182028,12,0,0,35,0,1,1,0,1,1,1,0
28,70100,13,0,0,60,1,0,1,0,1,1,1,0
55,234327,10,0,0,40,1,1,0,1,0,1,1,0
22,208946,10,0,0,25,1,1,1,0,1,1,1,0
81,176500,8,0,0,30,0,1,1,1,1,1,1,0
43,67243,13,0,0,45,1,0,0,1,0,1,1,1
42,256179,10,0,0,48,0,1,0,0,1,0,1,1
34,258425,11,2597,0,45,1,1,1,1,1,0,1,0
49,206947,9,0,0,40,0,1,1,0,1,1,1,0
24,116788,10,0,0,40,1,1,0,1,0,1,1,0
22,305874,9,0,0,60,1,1,0,1,0,1,1,0
46,303918,9,7688,0,96,1,0,0,1,0,1,1,1
26,121789,11,0,0,40,0,0,1,0,1,1,1,0
39,82726,10,0,0,40,0,1,0,1,1,1,1,0
59,160362,9,0,0,60,1,1,0,1,0,1,1,0
42,190786,11,0,0,40,1,1,0,1,0,1,1,0
64,167149,4,0,0,25,1,0,0,1,0,1,1,0
32,178615,9,2407,0,40,1,1,0,1,0,1,1,0
41,287306,12,15024,0,60,1,1,0,0,0,1,1,1
22,150336,10,0,0,40,0,1,1,1,1,1,1,0
29,183523,10,0,0,40,1,0,1,0,1,1,0,0
45,33300,11,0,1977,50,1,1,0,1,0,1,1,1
54,195904,11,0,0,40,1,0,0,1,0,1,1,0
46,23545,9,0,0,40,1,1,1,1,1,1,1,0
42,267138,10,0,0,40,1,0,0,1,0,0,1,0
47,162494,10,0,0,45,0,1,1,1,1,1,1,1
52,104280,10,0,0,50,1,0,0,1,0,1,1,0
47,102308,13,0,0,50,1,1,0,0,0,1,1,1
59,384246,16,0,0,50,1,1,0,0,0,1,1,0
22,493034,9,0,0,40,1,1,1,1,1,0,1,0
26,198986,9,0,0,40,1,1,1,1,1,1,1,0
43,153489,13,0,0,50,1,1,0,1,0,1,1,0
64,84737,9,0,0,35,1,0,0,1,0,0,1,1
22,362309,10,0,0,35,1,1,1,1,1,1,1,0
32,147654,9,0,1902,40,1,1,0,1,0,1,1,1
47,223342,9,2174,0,40,0,1,1,0,1,1,0,0
44,190739,9,0,0,32,1,1,1,1,1,0,1,0
57,204387,13,0,1977,10,1,0,0,0,0,1,1,1
29,120645,12,0,0,40,0,1,0,1,1,0,1,0
45,183804,10,0,0,40,1,0,1,0,1,1,1,0
50,198681,10,0,0,70,1,1,0,1,0,1,1,1
42,482211,9,0,0,40,1,1,1,1,1,1,1,0
24,209417,10,7298,0,60,1,1,0,1,0,1,1,1
41,195096,13,0,0,50,1,1,0,0,0,1,1,1
38,140854,13,0,0,50,1,0,0,1,0,1,1,1
47,115613,9,0,0,50,1,1,0,1,0,1,1,1
42,153160,9,0,0,40,0,1,1,1,1,1,1,0
56,187873,14,0,0,40,0,0,1,0,1,1,1,0
56,306633,11,0,0,40,1,0,0,0,0,1,1,0
30,176123,6,0,0,40,1,1,1,0,1,0,0,0
24,204172,13,0,0,40,0,1,1,1,1,1,1,0
39,198654,9,99999,0,40,0,1,1,0,1,0,1,1
34,85374,9,0,0,40,1,1,0,1,0,1,1,0
19,282698,4,0,0,80,1,1,1,0,1,1,1,0
53,71417,16,0,0,40,1,0,0,0,0,1,1,0
40,100451,10,0,0,40,1,1,1,1,1,1,1,0
29,108574,9,0,0,30,0,1,1,1,1,1,1,0
60,525878,9,0,0,40,1,0,0,0,0,0,1,0
42,178074,14,0,1902,40,0,0,0,0,1,1,1,1
35,281982,10,0,0,40,1,1,0,0,0,1,1,1
47,87490,14,0,0,42,1,1,1,0,1,1,1,0
58,234481,6,0,0,40,1,1,0,1,0,1,1,0
23,180052,9,0,0,40,1,1,1,1,1,1,1,0
19,199480,6,0,0,25,1,1,1,1,1,1,1,0
48,216214,7,0,0,40,1,1,0,0,0,1,1,0
26,29515,9,0,0,40,1,1,1,0,1,1,1,0
53,254285,14,0,0,40,1,1,0,0,0,1,1,1
36,437890,9,0,0,90,1,0,1,0,1,0,1,0
35,99146,13,0,0,50,1,0,0,1,0,1,1,0
38,326886,11,0,0,45,1,1,0,0,0,1,1,1
32,187936,6,0,0,50,0,1,1,1,1,0,1,0
45,79646,10,0,0,70,1,1,0,1,0,1,1,0
62,147627,5,1055,0,22,0,1,1,1,1,0,1,0
49,157569,9,0,0,40,1,1,0,1,0,1,1,0
34,106761,13,0,0,45,1,1,0,1,0,1,1,1
24,394191,8,0,0,55,1,1,1,1,1,1,0,0
33,422960,10,0,0,60,0,0,0,0,1,1,1,1
39,372130,14,5013,0,56,1,0,0,0,0,0,1,0
27,430340,10,0,0,45,0,1,1,1,1,1,1,0
38,93287,7,0,0,40,1,1,0,1,0,1,1,0
20,230891,10,0,0,45,1,1,1,1,1,1,1,0
37,588003,13,15024,0,40,1,1,0,0,0,1,1,1
59,216851,9,0,0,40,1,1,1,0,1,1,1,0
24,271354,9,0,0,40,1,1,0,1,0,1,1,0
44,167280,13,0,0,40,1,0,0,1,0,1,1,0
37,138192,9,0,0,45,1,1,0,1,0,1,1,0
36,166606,9,0,0,40,1,0,0,1,0,1,1,0
35,37314,16,0,0,55,1,0,1,0,1,1,1,0
55,240988,5,0,0,40,1,1,0,0,1,0,0,0
34,284629,9,0,0,40,1,1,0,0,0,1,1,0
41,184378,9,0,0,40,1,1,1,1,1,1,1,0
45,125892,9,0,0,40,1,1,1,1,1,1,0,0
20,146879,9,0,2001,40,1,1,1,1,1,1,1,0
53,304353,10,0,0,36,1,1,0,1,0,1,1,1
44,165815,9,0,0,60,1,1,0,0,0,1,1,1
42,33126,12,0,0,60,1,1,0,0,0,1,1,1
21,60668,9,0,0,50,1,1,1,0,1,1,1,0
31,144949,9,0,0,40,1,0,1,1,1,1,1,0
48,85384,10,0,0,40,1,0,0,1,0,1,1,1
22,496025,10,0,0,40,1,1,0,0,0,1,0,0
33,69311,9,0,0,40,1,1,1,1,1,1,1,0
41,145220,5,0,0,40,0,1,1,1,1,1,0,0
39,176101,13,0,0,40,1,1,0,1,0,1,1,0
53,128272,16,0,0,70,1,0,0,0,0,1,1,1
28,166634,9,0,0,40,0,1,1,0,1,0,1,0
51,304955,9,7688,0,50,1,0,0,0,0,1,1,1
30,212237,13,0,1740,45,1,1,0,0,0,1,1,0
23,237498,9,0,0,45,1,0,1,1,1,1,1,0
46,167159,10,0,0,70,1,0,0,1,0,1,1,1
31,316672,9,0,0,40,0,1,1,1,1,1,0,0
40,260696,9,0,0,40,0,1,1,0,1,1,1,0
36,134367,13,0,0,32,0,1,0,1,1,1,1,1
51,194259,13,0,0,40,0,1,1,1,1,1,1,0
29,247867,13,0,0,40,1,1,0,0,0,1,1,1
30,504725,6,0,0,18,1,1,1,1,1,1,0,0
31,242984,10,0,0,40,1,1,1,1,1,1,1,0
46,174361,14,0,0,40,1,0,0,0,0,1,1,1
49,155862,9,0,0,50,1,0,0,1,0,1,1,1
37,243409,9,0,0,40,1,1,0,1,0,1,1,0
40,199513,14,0,1408,50,1,1,1,0,1,1,1,0
43,269733,9,0,0,40,1,0,1,1,1,1,1,0
46,182533,13,0,0,40,0,1,1,0,1,0,0,0
17,159299,7,0,0,20,0,1,1,1,1,1,1,0
27,192936,13,0,0,45,0,1,1,0,1,1,1,0
47,122026,11,0,0,50,1,1,1,1,1,1,1,0
29,320451,9,0,0,40,1,1,1,1,1,0,0,0
30,113364,13,0,0,18,1,1,1,1,1,1,1,0
47,284907,9,0,0,40,1,1,0,0,0,1,1,0
43,105896,10,0,0,40,0,0,1,1,1,1,1,0
28,156300,14,0,0,45,0,1,1,0,1,0,1,0
33,92462,12,0,0,32,1,1,1,1,1,0,1,0
